"title","content","date","variant","images","verified","author","rating","product","url"
"4GB RAM NOT 8GB RAM!","This is NOT an 8GB RAM! It is only 4GB RAM! With that being said, it is advertised as an 8GB RAM, packaging was basically triple boxes, packaged very well! Came with backpack and mouse pad as described. Initial start up was slow, but moving fast now that it’s set up. Only gave 3 stars because the RAM is a significant part in purchasing the right laptop!","26 Nov 2019","","https://images-na.ssl-images-amazon.com/images/I/71T29bOsioL._SY88.jpg","Yes","Atara83","3.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great Laptop, Good Value, well worth it","Amazon delivered my order promptly. This laptop bundle came in a solid double packaging, and it comes with a backpack and a mouse pad. I am so amazed by the backpack & mouse pad quality, and I don’t mind the little legendary logo both accessories. I had HP laptops previously and had been pleased with their performance. This one is exceptional for someone who isn't into a lot of gaming and such. I am self employed and I bought this laptop for my work, I only need basic internet browsing and need to do some basic excel reporting, so this computer is perfect for me and at an amazing price, especially it came with bonus accessories.","03 Sep 2019","","https://images-na.ssl-images-amazon.com/images/I/61+EuNBo3AL._SY88.jpg","Yes","Maggie","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Nice, but faulty!","I got a faulty laptop from day 1! Before I ordered I made sure to ask the seller if it’s NEW.  Well, I got it and it shuts down every 2 minutes. They offered refund, but I live outside the US and returning this mess will cost me a lot. I thought it was tested/upgraded as stated. How can they missed mines when it shuts off right after start up?  Now I’ve trust issues with purchasing electronics online now.","02 Nov 2019","","","Yes","Candice","1.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Pretty much everything that i was looking for in a large laptop","the box delivered on time and safe.  it was double boxed and packed well. the included laptop bag is good quality and will work well when i need to use it.  i would not buy this laptop for the bag but it is a nice value add. speed and response on this laptop is everything that i was looking for.  set up was easy and came 1/2 charged so i didn't have to immediately plug in. My only concern is battery life.  this is the largest laptop that i have ever had.  i use mainly for school and work.  i don't game or stream a lot of video.  but in the 4 hours that i have had the laptop open today, the battery has already dropped to 25%.  i don't know if that is to be expected with the multiple windows open and the large screen but i don't expect to get 8 hours out of the charge if i am on it.  I will keep the power cable near by.  if you are using less, you might make a full day on a charge.","31 Oct 2019","","","Yes","Gregg Stepp","4.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Nice laptop","Nice looking laptop. Very light. Quality is very good and very happy with this purchase. Got this laptop earlier than expected. Highly recommended seller and a product!","30 Aug 2019","","","Yes","T. Khadu","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Excellent","Excellent computer, pretty easy setup, excellent quality backpack. I’d recommend this to anyone looking for a good computer at an affordable price.","02 Oct 2019","What's this?","","Yes","Megs77","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"To be happy!!","I have nothing to say because since I opened the Laptop, already was defected.  I was very disappointed that the next day I have to return it.  However, AMAZON, customer services took care this issue.  Amazon has so many customer services over sea like Filipinas that I was very happy how those tech support help you. Since, the price is so good, I decided to re buy it.","23 Aug 2019","","","Yes","Jorge","3.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Nice laptop bundle","It is an amazing back to school laptop bundle, HP laptop is fast and portable for my school study, and the backpack looks awesome. Overall, it is worth every penny. Thanks","19 Aug 2019","","","Yes","Amazon Customer","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Worst purchase EVER!","Extremely dissatisfied with this laptops lack of speed and how low quality it looks and feels. It truly behaves like a 13 year old slow laptop and I have high speed internet. It lags and takes forever to turn on it is so slow that I can get most info on my cellphone so much faster. I tried twice to get Amazon to send me a new Factory sealed one and they sent two that had the security tape removed and laptop was not factory packed. If it wasnt too late to return this I would do it in a heartbeat! Worst purchase of 2019 hands down! UPDATE* May of 2020 I DO NOT recommend buying this at all! It is absolutely the worst laptop I have ever had the displeasure of using/unfortunately owning! If you want to feel like you're on the first dinosaur slowest laptop ever made, then feel free to throw away your money on this monstrosity! You have been warned! If I could give no stars I would!","16 Dec 2019","","","Yes","My reviews","1.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Works very good.","Nothing to dislike about it. Nice laptop for the price.","02 Sep 2019","What's this?","","Yes","Robert C","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"what looked like old dust inside the phone","The phone I received has corrosion all around the USB terminal, what looked like old dust inside the phone, has rubber defects/peeling off around the camera lens, has rubber or plastic covering part of the upper portion of the rear speaker, has a spot/smudge that shows up when you take pics.  The phone has locked up twice when transferring content using PC suite to where it could not be restarted without removing the battery and 3 times it has went from full charge to fully drained for no reason.  The phone does have some good features like being a nice business phone and buttons are clearly laid out.  I have not been able to install Nokia maps and have had some other issues installing software.  Camera is decent but way to loud when you take a pic and so far I have not seen a option to mute it like you can on most phones, just different tones.  I hope that the condition of the phone is not typical of Nokia's, it has not been my previous experience with Nokia so I would just blame the seller for apparently selling damaged/refurbished phones as new and using a old dying battery.  Buyer beware of certain sellers.  I have include pictures of the phone and the condition.","19 Nov 2016","","https://images-na.ssl-images-amazon.com/images/I/61a5RoOsecL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71O4-8iHp2L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71xPiL7YIcL._SY88.jpg","Yes","Michael","2.0","Nokia E72 Unlocked Phone Featuring GPS with Voice Navigation - U.S. Version with Full Warranty (Zodium Black)","https://www.amazon.com/Nokia-Unlocked-Phone-Featuring-Navigation/product-reviews/B002QEBM96/ref=cm_cr_dp_all_helpful?ie=UTF8&showViewpoints=1&sortBy=bySubmissionDateDescending
"
"Despite the other bad reviews, I bought this phone and did not regret it","I don't understand why so many people are complaining about the firmware. The phone had no problems at all from the beginning when I got the device. I did update the firmware two times (one for each time a firmware was released) and I don't notice any improvements either. Well, based on my experience with the Nokia E90, Touch Pro2, HTC HD2, Apple iPhone 3G, Sony Ericsson Xperia X1, and the Nokia N95, I really think this is the best phone out of all of them. 1) Build Quality - The build is alright. There are no wobbly parts (not even the battery cover which people complain about). There is some light leakage on the the upper 'functionality' keys and it is distracting. All Nokia E72's have light leakage here. The Micro SD and USB covers are easily damaged, so you need to be careful when you pry them open. I have not broken these but I can tell that they can snap off easily. But in the end, the build quality on the E72 is very nice and sturdy. The screen also comes with a pre-installed screen protector that can be pealed off. 2) Efficiency - This phone does not disappoint in making yourself more productive. The phone is very fast compared to Nokia N95, Nokia E90, and Xperia X1. The back-lighting on the QWERTY keyboard has the perfect brightness. It is much brighter than the Nokia E90's dim keyboard. Because the keyboard lacks a number row and needs larger keys, the Nokia E90 or Touch Pro2 is a better choice if you really need a really good keyboard. However, I was willing to sacrifice the awesome Nokia E90 keyboard to compromise for E72's better features and not-so-bad keyboard. From best to worst, here is how I rank between different keyboards: HTC Touch Pro2 > Nokia E90 > Nokia E72 > HTC HD2 > Apple iPhone > Xperia X1. You will never accidentally turn on your phone and dial numbers when you leave the E72 in your pocket. The phone will never unlock in your pocket (as long as you manually or automatically lock the screen). Most importantly, the Nokia E72 has a better keyboard and better buttons than the E71. There really only is one thing about the E71 keys that are better than the E72 keys. Since the E72 has a mushy optical sensor, using the D-pad isn't fun. The Nokia E71 has a better D-pad (it's more clicky and less mushy). However, the E71 'functionality' buttons are very cramped. I find it two times more efficient pressing the Menu/Calendar/Contacts/Messaging button on the E72 because the buttons are larger and raised. Even the surrounding buttons work well. On the E71 I would press multiple buttons at once. This problem rarely happens on the E72. In terms of the QWERTY keys, the E72 and E71 are very similar. However, the number and Ctrl key on the E72 is larger by comparison. So the E72 wins in terms of keyboard and buttons. 3) Battery Efficiency - The brand new battery on the E72 lasts much longer than the all of the phones I've had and used. Furthermore, it is easy to remove and replace, unlike the Nokia E90 and Xperia X1. 4) Camera - The camera isn't that good. I still haven't found a phone with a camera that's worth using. From what I can see, I don't think their is much difference between Nokia E72 and Xperia X1's camera. However, the LED flash on the E72 is the pretty good compared to other phone. Of course, I haven't used the camera that much and I am not a camera pro so you can't rely on me in this area. 5) Multimedia - the mono speaker on the back of the phone isn't very loud, but it isn't very quiet. It's much louder than the iPhone at max level but much softer than the Nokia E90 (which has amazing stereo speakers). The music player is great, and thanks to the keyboard, I can search through my music library without scrolling. Furthermore, the audio processing on this phone is on par to my laptop. I hear no difference in sound quality between my laptop and my E72 when I use the same headphones. Watching videos on the low-resolution phone is pretty decent and even clear, but because all Nokia comes with a terrible video player, I am disappointed. But thanks to how well a 600 qualcomm CPU performs on Symbian phones, multimedia is very breezy. 6) Phone and Organizer - this is an Eseries Nokia device running on symbian. Most Eseries organizer and phone software are same or similar. Well, in my opinion, the Eseries software is better than Windows Mobile and iPhone. Of course one of the main problem with contacts, calendars, and notes on non-touchscreen Nokia's is that you need a good keyboard to be well organized. Well the E72 has a decent keyboard. But in regards other than software, the loudspeaker/speakerphone is very low so conversations will be annoying because it's hard to hear when you are in a noisy environment. Do not get this phone if your priority is to have a good speaker for phone calls in public environments (for music is is decent, especially when you like to hear it in a quiet place). 7) Internet - the Wi-Fi browsing on this phone is much faster than the Wi-Fi on my Xperia X1, and E90. I can't comment on other phones. Scrolling through pages on the E90 was a nightmare. This problem is fixed on the E72. It also supports some flash content like you-tube, and for that, it is a very good phone for internet uses. For a non-touch screen phone, it's a good internet device. I actually prefer it over the HTC HD2. 8) Price - for 330 U.S. dollars. This phone has the most return to each dollar you spent. If you guys are wondering: A) The accelerometer works with 3rd party software but has pre-installed settings to silent phone calls or alarms. B) The annoying animated-transitions between screens can be disabled in the phone settings. C) Do not buy this phone just because it has a customizable optical D-pad. It's not very good, and the reason I like it is to lock in the 'focus' when I take pictures. D) The Calendar, Contacts, and Messaging keys are completely customizable.","31 May 2010","","","Yes","Peter Nguyen","4.0","Nokia E72 Unlocked Phone Featuring GPS with Voice Navigation - U.S. Version with Full Warranty (Zodium Black)","https://www.amazon.com/Nokia-Unlocked-Phone-Featuring-Navigation/product-reviews/B002QEBM96/ref=cm_cr_dp_all_helpful?ie=UTF8&showViewpoints=1&sortBy=bySubmissionDateDescending
"
